id;m_source;c_source;m_country_code;c_country_code;m_source_id;c_source_id;validation_status
4332797;AZT;CMA;LT;LT;768455075300;14837;gpt_2
4332799;AZT;CMA;LT;LT;220316;20503;gpt_2
4332803;AZT;CMA;LT;LT;224236;25276;gpt_2
4332844;AZT;CMA;LT;LT;217975;18727;gpt_2
4332846;AZT;BNU;LT;LT;223635;10085393;gpt_2
4332849;AZT;CMA;LT;LT;477902109127;20651;gpt_2
4332850;AZT;CMA;LT;LT;475037602818;16746;gpt_2
4332851;AZT;CMA;LT;LT;223163;21110;gpt_2
4332879;AZT;CMA;LT;LT;729001011552;19319;gpt_2
4332926;AZT;CMA;LT;LT;223314;19561;gpt_2
4332951;AZT;CMA;LT;LT;015238;21759;gpt_2
4333018;AZT;CMA;LT;LT;225591;15267;gpt_2
4333036;AZT;CMA;LT;LT;010508;23299;gpt_2
4333096;AZT;CMA;LT;LT;697081055146;18993;gpt_2
4333138;AZT;CMA;LT;LT;210844;16809;gpt_2
4333155;AZT;CMA;LT;LT;502180745490;20823;gpt_2
4333174;AZT;CMA;LT;LT;570945500607;22745;gpt_2
4343057;AZT;BNU;LT;LT;226529;10061448;gpt_2
4372473;AZT;CMA;LT;LT;226402;22952;gpt_2
4372480;AZT;CMA;LT;LT;226404;22953;gpt_2
4372481;AZT;GIN;LT;LT;226403;36260;gpt_2
4374813;AZT;CMA;LT;LT;421020138800;26346;gpt_2
4544518;AZT;NTN;LT;LT;224314;16238057;gpt_2
4545372;AZT;NTN;LT;LT;226570;16237772;gpt_2
4546020;AZT;GIN;LT;LT;226477;33084;gpt_2
4546021;AZT;BNU;LT;LT;226477;10019534;gpt_2
4546022;AZT;CMA;LT;LT;226477;18185;gpt_2
4546028;AZT;BNU;LT;LT;226480;10019483;gpt_2
4546029;AZT;CMA;LT;LT;226480;18177;gpt_2
4546038;AZT;GIN;LT;LT;226676;30504;gpt_2
4546042;AZT;GIN;LT;LT;226680;30497;gpt_2
4546045;AZT;GIN;LT;LT;226682;30501;gpt_2
4546219;AZT;GIN;LT;LT;226395;41587;gpt_2
4579382;AZT;GIN;LT;LT;226677;31458;gpt_2
4579392;AZT;GIN;LT;LT;226681;30498;gpt_2
4579397;AZT;GIN;LT;LT;226684;31904;gpt_2
4579487;AZT;GIN;LT;LT;358291007851;24900;gpt_2
4579556;AZT;CMA;LT;LT;734007475010;26406;gpt_2
4579565;AZT;CMA;LT;LT;734007475013;26415;gpt_2
4579580;AZT;CMA;LT;LT;734007471543;26398;gpt_2
4579581;AZT;CMA;LT;LT;734007471542;26397;gpt_2
4579620;AZT;CMA;LT;LT;734007475103;26420;gpt_2
